neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Upper Bukit Timah,Manbok BBQ & Seafood,www.yelp.com/biz/manbok-bbq-and-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7n0iztJgOwlv5Rmh4GtHjA/348s.jpg,3.5,6,Upper Bukit Timah,"['Barbeque', 'Korean', 'Seafood']",2.0
Upper Bukit Timah,Kotoshi Ryori Japanese Dining,www.yelp.com/biz/kotoshi-ryori-japanese-dining-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yHanekj4FCSeyR_bsasOaw/348s.jpg,5,2,Bukit Batok,['Japanese'],
Upper Bukit Timah,French Ladle,www.yelp.com/biz/french-ladle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GShMZ0hD2c9l9xrBc8d00Q/348s.jpg,5,5,Ulu Pandan,['French'],1.0
Upper Bukit Timah,Hup Choon Eating House,www.yelp.com/biz/hup-choon-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r84_CPfgDAk8D5EJuGQMiA/348s.jpg,4.5,8,Bukit Timah,['Seafood'],1.0
Upper Bukit Timah,Mikawa Yakitori Bar Bukit Timah,www.yelp.com/biz/mikawa-yakitori-bar-bukit-timah-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/aSTMDFa1ifW-VI6OIZJYOg/348s.jpg,4,1,Upper Bukit Timah,"['Yakitori', 'Sushi Bars']",
Upper Bukit Timah,Hua Tian Restaurant,www.yelp.com/biz/hua-tian-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fcA9YqID4A6vpIhODcwxWw/348s.jpg,4,1,Upper Bukit Timah,['Teochew'],
Upper Bukit Timah,Sunset Railway Cafe,www.yelp.com/biz/sunset-railway-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i5n6a8NLjNyja5Xm0c50QQ/348s.jpg,4.5,3,Clementi,['Cafes'],1.0
Upper Bukit Timah,Top Seafood,www.yelp.com/biz/top-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G7wLjvLGAGmqL3Y9h0UmXQ/348s.jpg,5,1,Sixth Avenue,['Seafood'],
Upper Bukit Timah,Joo Mak,www.yelp.com/biz/joo-mak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OSZJOQ-0Zk69r-brsYtK5g/348s.jpg,4.5,3,Upper Bukit Timah,['Korean'],2.0
Upper Bukit Timah,Spruce @ Firestation,www.yelp.com/biz/spruce-firestation-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SQFRgoFVHVmG1nv9UPVq5g/348s.jpg,2.5,14,Upper Bukit Timah,['Gastropubs'],3.0
Upper Bukit Timah,Carpenter and Cook,www.yelp.com/biz/carpenter-and-cook-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2pmgqpPctXCaksntSjNViw/348s.jpg,4,27,Upper Bukit Timah,"['Bakeries', 'Cafes', 'Home Decor']",2.0
Upper Bukit Timah,New Hong Kong Street Chun Kee Restaurant,www.yelp.com/biz/new-hong-kong-street-chun-kee-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/De7QggSzFb4egWs0WdBzPQ/348s.jpg,4,1,Upper Bukit Timah,['Chinese'],
Upper Bukit Timah,Ajiya Okonomiyaki Restaurant,www.yelp.com/biz/ajiya-okonomiyaki-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n3O8kH4vdo6IgLzc3LAXIQ/348s.jpg,3,3,Upper Bukit Timah,['Japanese'],
