neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Kent Ridge,Paddy Hills,www.yelp.com/biz/paddy-hills-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3HDfWqmHS5jnFTqfKq5kDg/348s.jpg,4,16,Kent Ridge,"['Asian Fusion', 'Cafes', 'Breakfast & Brunch']",3.0
Kent Ridge,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
Kent Ridge,Takagi Ramen,www.yelp.com/biz/takagi-ramen-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zWivtplR-KQN8WNsWYxbJA/348s.jpg,3,1,Kent Ridge,['Ramen'],
Kent Ridge,Chuckwagon BBQ & Grill,www.yelp.com/biz/chuckwagon-bbq-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1CWt0HEhmG9vmwQODOHVVg/348s.jpg,4.5,3,Wessex Estate,"['Barbeque', 'Steakhouses']",
Kent Ridge,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
Kent Ridge,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
Kent Ridge,Tokyo Joe,www.yelp.com/biz/tokyo-joe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JlVPqmjU3_9tkX9oV86rIw/348s.jpg,4,1,Kent Ridge,['Japanese'],
Kent Ridge,Manhill Restaurant,www.yelp.com/biz/manhill-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9joPeb5w6C2C53FkMLoEzA/348s.jpg,4.5,5,Pasir Panjang,['Cantonese'],2.0
Kent Ridge,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7Fz7kt1gXsakmyR1Xb-70A/348s.jpg,4,5,Pasir Panjang,['Korean'],3.0
Kent Ridge,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
Kent Ridge,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
