neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Robertson Quay,Shabestan,www.yelp.com/biz/shabestan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9lZk3Wm7IPnWT9dvA9QElQ/348s.jpg,4.5,22,Robertson Quay,['Persian/Iranian'],3.0
Robertson Quay,Three Buns,www.yelp.com/biz/three-buns-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1x6m1kvFYn3_2RHX5hNs7A/348s.jpg,4.5,8,Robertson Quay,"['Burgers', 'Cocktail Bars']",
Robertson Quay,Himonoya,www.yelp.com/biz/himonoya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Vgjj5i4LZRcdojzmEyuEng/348s.jpg,4,1,Robertson Quay,['Izakaya'],3.0
Robertson Quay,The English House by Marco Pierre White,www.yelp.com/biz/the-english-house-by-marco-pierre-white-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/17DRYzlzydcBpzlb3Z9xsQ/348s.jpg,4.5,6,Robertson Quay,['British'],
Robertson Quay,Bella Pizza,www.yelp.com/biz/bella-pizza-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GkW9GFAcNALUxnP5Dts8aA/348s.jpg,4,13,Robertson Quay,"['Italian', 'Pizza']",2.0
Robertson Quay,Yakiniku Yazawa,www.yelp.com/biz/yakiniku-yazawa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jX-57VEXjie79Q7-4imDoA/348s.jpg,4,17,Robertson Quay,"['Japanese', 'Barbeque', 'Steakhouses']",4.0
Robertson Quay,Red House,www.yelp.com/biz/red-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4BqYONCcBX5JO3k_7vJF-A/348s.jpg,4,30,Robertson Quay,['Seafood'],3.0
Robertson Quay,Bistecca Tuscan Steakhouse,www.yelp.com/biz/bistecca-tuscan-steakhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z5eggwlyi5SJdrh2lH--NA/348s.jpg,4,26,Robertson Quay,"['Steakhouses', 'Italian']",4.0
Robertson Quay,Masa Steak & Hamburg,www.yelp.com/biz/masa-steak-and-hamburg-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gPQNqrtSQrKocXfVRRBMqA/348s.jpg,4.5,4,Robertson Quay,"['Steakhouses', 'Japanese']",
Robertson Quay,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
Robertson Quay,Table At 7,www.yelp.com/biz/table-at-7-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TKDv2EY0fabADdY2dKwotg/348s.jpg,4.5,6,Robertson Quay,"['Indonesian', 'Australian']",2.0
Robertson Quay,Dutch Colony Coffee,www.yelp.com/biz/dutch-colony-coffee-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tm1nT5U5qcZWf_6Sv8V-dw/348s.jpg,4.5,8,Robertson Quay,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Robertson Quay,Publico,www.yelp.com/biz/publico-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tDRInGjSWPrT47wCHWBCVg/348s.jpg,4,10,Robertson Quay,['Italian'],
Robertson Quay,SPRMRKT,www.yelp.com/biz/sprmrkt-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eic37axhnWpMni8Am6AuCg/348s.jpg,4,4,Robertson Quay,"['Cafes', 'Bistros', 'Wine Bars']",2.0
Robertson Quay,PappaRich,www.yelp.com/biz/papparich-singapore-9?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/V4U_HWAcWC6vMjzM26hdqg/348s.jpg,4,4,Robertson Quay,"['Malaysian', 'Chinese', 'Indian']",
Robertson Quay,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,58,Clarke Quay,['Ramen'],2.0
Robertson Quay,The Book Cafe,www.yelp.com/biz/the-book-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/q-7DBpvsgNXslG1F2Ei0_A/348s.jpg,4,37,Robertson Quay,"['Cafes', 'Coffee & Tea', 'Desserts']",2.0
Robertson Quay,Violet Oon Satay & Grill,www.yelp.com/biz/violet-oon-satay-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-MlEj6uihMDbQ8DEya_l2A/348s.jpg,4,10,Clarke Quay,"['Seafood', 'Singaporean']",
Robertson Quay,Ippudo,www.yelp.com/biz/ippudo-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/meQofbuVPaH79vCepRRbgQ/348s.jpg,4,23,Robertson Quay,"['Bars', 'Ramen']",2.0
Robertson Quay,Z’en Japanese Cuisine,www.yelp.com/biz/zen-japanese-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oaUaCtmm43g5TeLwJBQxFw/348s.jpg,4,9,Robertson Quay,"['Buffets', 'Japanese']",3.0
Robertson Quay,Xin Yue Cantonese Restaurant,www.yelp.com/biz/xin-yue-cantonese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/50QRj6w64FYUFp7qkevqoA/348s.jpg,4,2,Robertson Quay,['Cantonese'],3.0
Robertson Quay,Orihara Shouten,www.yelp.com/biz/orihara-shouten-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8E1KcfsrhFr9E0-xD0w5xw/348s.jpg,4.5,8,Robertson Quay,"['Bars', 'Japanese']",4.0
Robertson Quay,Dabbawalla,www.yelp.com/biz/dabbawalla-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s-rpPuYFurNfz5KPAhOGQA/348s.jpg,4,5,Robertson Quay,"['Indian', 'Cocktail Bars']",4.0
Robertson Quay,Rosso Vino,www.yelp.com/biz/rosso-vino-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L8SIzzzf1sq4vbxmb9nvNA/348s.jpg,3.5,13,Robertson Quay,"['Pizza', 'Italian']",2.0
Robertson Quay,Super Loco,www.yelp.com/biz/super-loco-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Stqfhql-lbe5HK6NOqX4ug/348s.jpg,2.5,48,Robertson Quay,"['Mexican', 'Bars']",3.0
