neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bras Brasah,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Bras Brasah,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
Bras Brasah,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Bras Brasah,Brotzeit Raffles City,www.yelp.com/biz/brotzeit-raffles-city-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kvia7PdrcQ673hPOjV3QJQ/348s.jpg,4,24,Bras Brasah,"['German', 'Bars']",3.0
Bras Brasah,Jaan,www.yelp.com/biz/jaan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rbPhCnQilNMFbHdDoAHzhQ/348s.jpg,4.5,31,Bras Brasah,['French'],4.0
Bras Brasah,Beach Road Kitchen,www.yelp.com/biz/beach-road-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DcLVPjId0UZta-Z96CD8HA/348s.jpg,4.5,13,City Hall,"['Breakfast & Brunch', 'Chinese', 'Buffets']",2.0
Bras Brasah,National Kitchen By Violet Oon,www.yelp.com/biz/national-kitchen-by-violet-oon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G2xYewOZsMsguentS_j7tA/348s.jpg,4.5,39,City Hall,"['Asian Fusion', 'Singaporean']",3.0
Bras Brasah,New Ubin Seafood,www.yelp.com/biz/new-ubin-seafood-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ybeZZtqUan0ENoRJO6W71g/348s.jpg,4,7,Bras Brasah,"['Seafood', 'Breakfast & Brunch', 'Soup']",
Bras Brasah,Ya Kun Kaya Toast,www.yelp.com/biz/ya-kun-kaya-toast-singapore-10?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/p816SPUEc-JB-ZFVNnVU9g/348s.jpg,4,12,Bras Brasah,['Cafes'],1.0
Bras Brasah,Treasures by Imperial Treasure Yi Dian Xin,www.yelp.com/biz/treasures-by-imperial-treasure-yi-dian-xin-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/F-dvKftfG8AKI3WepqtYjA/348s.jpg,4.5,3,Bras Brasah,"['Congee', 'Dim Sum']",1.0
Bras Brasah,Ya Hua Bak Kut Teh,www.yelp.com/biz/ya-hua-bak-kut-teh-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eBXPMhkeC10Nh-fJjbMAFQ/348s.jpg,5,1,Bras Brasah,['Chinese'],
Bras Brasah,Lei Garden,www.yelp.com/biz/lei-garden-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PLfxI79fDQEKxeGbK3Lg0Q/348s.jpg,4,17,Bras Brasah,"['Dim Sum', 'Seafood', 'Cantonese']",3.0
Bras Brasah,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Bras Brasah,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wPzrJteRHK9bwAHT4lBn-Q/348s.jpg,4,7,Bras Brasah,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Bras Brasah,Burger & Lobster,www.yelp.com/biz/burger-and-lobster-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ayLpSzrNA9XecJS4fd31Vw/348s.jpg,3.5,3,Bras Brasah,"['Seafood', 'Burgers']",
Bras Brasah,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2ujdaEce6jYB-r1Hw1YZIw/348s.jpg,4,50,Bras Brasah,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Bras Brasah,Fat Bird,www.yelp.com/biz/fat-bird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8HxttET2IY8prO9svdyxLg/348s.jpg,4,9,Bugis,['Chinese'],2.0
Bras Brasah,Prego,www.yelp.com/biz/prego-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/P1_jaIVF2hK-C2b2UlKmLw/348s.jpg,3.5,28,Bras Brasah,['Italian'],3.0
Bras Brasah,Clinton Street Baking Company & Restaurant,www.yelp.com/biz/clinton-street-baking-company-and-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zaf5eKEmdo1Tp_hxGWutnQ/348s.jpg,4,72,Bugis,"['American (Traditional)', 'Breakfast & Brunch', 'Bakeries']",2.0
Bras Brasah,Shahi Maharani,www.yelp.com/biz/shahi-maharani-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lPn4lJCsuf1R-CNi3uEyHw/348s.jpg,4.5,9,Bras Brasah,['Indian'],3.0
Bras Brasah,Ash & Elm,www.yelp.com/biz/ash-and-elm-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5v1D4ZfcmzRwwjKniDD6A/348s.jpg,4,8,Bugis,['Modern European'],3.0
Bras Brasah,Saveur,www.yelp.com/biz/saveur-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8TSeCuNx2557jguRPJm1yQ/348s.jpg,4,68,Bugis,"['French', 'Desserts']",2.0
Bras Brasah,Kaiserhaus,www.yelp.com/biz/kaiserhaus-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uxemOVbBseNhAh_bxemDqA/348s.jpg,4,2,Bras Brasah,"['Austrian', 'Bars']",
Bras Brasah,Stuttgart Blackforest Boutique S-Cafe,www.yelp.com/biz/stuttgart-blackforest-boutique-s-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kgXXzrOtaj8YHGNhB_urbA/348s.jpg,4,2,Bencoolen,['German'],
Bras Brasah,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Bras Brasah,Third & Sixth Bistrobar,www.yelp.com/biz/third-and-sixth-bistrobar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hfMxesj1oIcyj5DySWI1og/348s.jpg,4.5,10,Bras Brasah,"['Bars', 'Burgers']",2.0
Bras Brasah,Gyu Kaku Japanese BBQ,www.yelp.com/biz/gyu-kaku-japanese-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FRrmm_lrnhV2jcsGfc7VJg/348s.jpg,4.5,9,Bras Brasah,['Japanese'],4.0
Bras Brasah,Fynn’s,www.yelp.com/biz/fynns-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jzVyssqKPMmMMMZSOu1agQ/348s.jpg,5,4,City Hall,"['International', 'Bars']",
Bras Brasah,Koufu Foodcourt,www.yelp.com/biz/koufu-foodcourt-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z6Vl1F6h0hqaQ2DzGRxShA/348s.jpg,4,1,Bras Brasah,['Food Court'],
Bras Brasah,15 Stamford by Alvin Leung,www.yelp.com/biz/15-stamford-by-alvin-leung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1ES9fxfudTUuR3U9ZlbKEg/348s.jpg,5,2,Bras Brasah,['Asian Fusion'],
