neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Kallang,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Kallang,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Kallang,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,72,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Kallang,Joyden Treasures,www.yelp.com/biz/joyden-treasures-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/j2ntXmj3ccod_TE5wI8Dpg/348s.jpg,4.5,4,Kallang,['Chinese'],4.0
Kallang,Tai Hwa Pork Noodle,www.yelp.com/biz/tai-hwa-pork-noodle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nxea-BvWww-FXGj6vEZ8kg/348s.jpg,4,86,Lavender,"['Chinese', 'Noodles']",1.0
Kallang,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Kallang,13 STAGES,www.yelp.com/biz/13-stages-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mtCu3bJlpscoyLDBw3FHyA/348s.jpg,5,1,Kallang,['Singaporean'],
Kallang,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
Kallang,Wakey Wakey,www.yelp.com/biz/wakey-wakey-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TxiNAZG9zEc0pV6oMqHngQ/348s.jpg,5,4,Arab Street,['Cafes'],
Kallang,Chabuton,www.yelp.com/biz/chabuton-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dW_qiNI1qR_oiS11-YKwjg/348s.jpg,5,6,City Hall,['Ramen'],2.0
