neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bayfront,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Bayfront,NUDE Seafood,www.yelp.com/biz/nude-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X6E9IY-pw-Y8jFrqI4xM7g/348s.jpg,4.5,4,Bayfront,['Seafood'],2.0
Bayfront,Yardbird Table & Bar,www.yelp.com/biz/yardbird-table-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lvaFwHeKMgdXGEx5qTiShg/348s.jpg,4,24,Bayfront,"['American (Traditional)', 'Bars']",3.0
Bayfront,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Bayfront,CUT,www.yelp.com/biz/cut-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0v-14_ffLhH0O-uYpc9lEQ/348s.jpg,4.5,53,Bayfront,"['American (Traditional)', 'Steakhouses']",4.0
Bayfront,Spago By Wolfgang Puck,www.yelp.com/biz/spago-by-wolfgang-puck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yaxDTKgC8kbickfWRVsh6A/348s.jpg,4,64,Bayfront,['American (Traditional)'],4.0
Bayfront,Boulevard Bayfront,www.yelp.com/biz/boulevard-bayfront-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WipUd8n6YFc04vqP6bCPRA/348s.jpg,5,1,Bayfront,"['Bars', 'Gastropubs', 'Party & Event Planning']",
Bayfront,Black Tap,www.yelp.com/biz/black-tap-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LNYnLPLJEKLk0PuH6n6Ivw/348s.jpg,4,16,Bayfront,"['American (Traditional)', 'Burgers', 'Beer Bar']",
Bayfront,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/348s.jpg,4.5,76,Tanjong Pagar,"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",1.0
Bayfront,Lau Pa Sat,www.yelp.com/biz/lau-pa-sat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kTO6YTLQCxxSqyvD_QMiOg/348s.jpg,4.5,3,Raffles Place,"['Singaporean', 'Chinese', 'Indian']",
