neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Sentosa,The Garden @ Sentosa,www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d5euGIO-qmW4f5XLNwwJdw/348s.jpg,5,2,Sentosa,['Modern European'],3.0
Sentosa,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Sentosa,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Sentosa,Singapore Seafood Republic,www.yelp.com/biz/singapore-seafood-republic-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ER69x0eLWvac0mMHHiFVCQ/348s.jpg,4,8,Sentosa,['Seafood'],4.0
Sentosa,Cassia,www.yelp.com/biz/cassia-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rUVoPrQfAhs6gxdnSBpLvQ/348s.jpg,4,4,Sentosa,['Chinese'],4.0
Sentosa,Gin Khao Bistro,www.yelp.com/biz/gin-khao-bistro-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6eTxwE2CtKEKKb-t_onfWg/348s.jpg,3.5,3,Sentosa,['Thai'],
Sentosa,SKIRT,www.yelp.com/biz/skirt-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bltwgjuOZy44uJ99Jc3EbQ/348s.jpg,4,8,Sentosa,"['Seafood', 'Steakhouses']",4.0
Sentosa,Old Habits,www.yelp.com/biz/old-habits-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PpEWvE5J3LuDWYM4nXQCYQ/348s.jpg,5,4,Telok Blangah,['Cafes'],2.0
Sentosa,Feng Shui Inn,www.yelp.com/biz/feng-shui-inn-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EzAHxKqbAHm4WAL6Dmcmkg/348s.jpg,4,5,Sentosa,['Chinese'],
Sentosa,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-27?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNb3sNTNdQPnSXYOlZjEjA/348s.jpg,3.5,23,Sentosa,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Sentosa,Feng Shui Inn,www.yelp.com/biz/feng-shui-inn-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EzAHxKqbAHm4WAL6Dmcmkg/348s.jpg,4,5,Sentosa,['Chinese'],
Sentosa,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-27?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNb3sNTNdQPnSXYOlZjEjA/348s.jpg,3.5,23,Sentosa,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Sentosa,Coastes,www.yelp.com/biz/coastes-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EWa4-Wtly4YVoMBhcNP81g/348s.jpg,3.5,27,Sentosa,"['Beach Bars', 'Delis']",2.0
Sentosa,Syun,www.yelp.com/biz/syun-southern-islands-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KNPwxxNTrLjjTVwnAr0MSw/348s.jpg,4,5,Sentosa,['Japanese'],3.0
Sentosa,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Sentosa,FOC Sentosa,www.yelp.com/biz/foc-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GsfTEZaYnXkOQfnvvIBXdw/348s.jpg,3,8,Sentosa,"['Spanish', 'Bars', 'Mediterranean']",2.0
Sentosa,Marché,www.yelp.com/biz/march%C3%A9-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8LL1YDXNfsovSqMvjoGGUQ/348s.jpg,4,20,Harbourfront,['Restaurants'],2.0
Sentosa,Shutters Restaurant,www.yelp.com/biz/shutters-restaurant-sentosa-island?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-rs3WhvaQH7cIL_x2BOGvA/348s.jpg,4,1,Sentosa,"['Modern European', 'Asian Fusion', 'Tapas/Small Plates']",
Sentosa,Brewerkz,www.yelp.com/biz/brewerkz-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3uE4vFsrYTWvV8jSXWnjWQ/348s.jpg,4.5,4,,"['American (Traditional)', 'Beer Bar']",
Sentosa,Trapizza,www.yelp.com/biz/trapizza-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EvA1OMN3UJSfDkqibVqWWg/348s.jpg,3,1,Sentosa,"['Pizza', 'Italian', 'Desserts']",
Sentosa,Earl of Hindh,www.yelp.com/biz/earl-of-hindh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eBzmOWZRkV7J4u8NBHNh_Q/348s.jpg,4,2,Sentosa,['Indian'],
Sentosa,Big Fat Mama,www.yelp.com/biz/big-fat-mama-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/loXJ2OmvMEJhZ-hjvPdQRA/348s.jpg,4,1,Sentosa,"['Pizza', 'Gelato', 'Italian']",
Sentosa,Washoku Goen,www.yelp.com/biz/washoku-goen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L01z3ZP1yqalLEQG4MpZbw/348s.jpg,4,2,Harbourfront,['Japanese'],
Sentosa,Hard Rock Cafe Sentosa,www.yelp.com/biz/hard-rock-cafe-sentosa-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8tE7U51vNLzodkbgjpLL5A/348s.jpg,3,20,Sentosa,['American (Traditional)'],2.0
Sentosa,Barrio by Mex Out,www.yelp.com/biz/barrio-by-mex-out-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/82pS6M4wcf0YE7IOA4nLZg/348s.jpg,3.5,6,Harbourfront,['Mexican'],
Sentosa,Bornga,www.yelp.com/biz/bornga-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5-ZAdAb_GDHzdlA2wR1Kw/348s.jpg,4,11,Harbourfront,['Korean'],3.0
Sentosa,Morganfield’s,www.yelp.com/biz/morganfields-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNF87EmmdFj6jGxU25sIvg/348s.jpg,4.5,2,Harbourfront,"['American (Traditional)', 'Gastropubs', 'Diners']",2.0
Sentosa,NUDE Seafood,www.yelp.com/biz/nude-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X6E9IY-pw-Y8jFrqI4xM7g/348s.jpg,4.5,4,Bayfront,['Seafood'],2.0
Sentosa,Bora Bora Beach Bar,www.yelp.com/biz/bora-bora-beach-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AwQa6prnjGwB2nY3xoMNOA/348s.jpg,3,8,Sentosa,['Cafes'],2.0
Sentosa,Mykonos On The Bay,www.yelp.com/biz/mykonos-on-the-bay-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XpmcYBlmEQCkXRq5vjm4ow/348s.jpg,3.5,7,Sentosa,['Greek'],4.0
Sentosa,Blue Lotus Chinese Eating House,www.yelp.com/biz/blue-lotus-chinese-eating-house-quayside-isle?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eLf8_S_VMm0ThRaJtZbsKg/348s.jpg,4,5,Sentosa,['Chinese'],3.0
Sentosa,Forest,www.yelp.com/biz/forest-sentosa-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MckdMsKw6_vveuAiG4iCyw/348s.jpg,3.5,3,Sentosa,['Chinese'],4.0
Sentosa,Bosses Restaurant,www.yelp.com/biz/bosses-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T4_Ywn7ims59UhCM20OOxQ/348s.jpg,4,20,Harbourfront,"['Dim Sum', 'Cantonese']",2.0
Sentosa,Sabio By The Sea,www.yelp.com/biz/sabio-by-the-sea-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/69WUC1ildwQmRCjtLfRJ6Q/348s.jpg,3.5,10,Sentosa,"['Tapas/Small Plates', 'Spanish']",3.0
Sentosa,The Kitchen Table,www.yelp.com/biz/the-kitchen-table-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GED6RsX6rRm-hqK5JyuVMQ/348s.jpg,4,4,Sentosa,['International'],2.0
Sentosa,Good Old Days,www.yelp.com/biz/good-old-days-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,3,1,Sentosa,['Asian Fusion'],
Sentosa,Thye Hong Singapore Heritage Food,www.yelp.com/biz/thye-hong-singapore-heritage-food-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UCt0CE7UF4sTs1hfeo1_kw/348s.jpg,5,1,Tanjong Pagar,"['Noodles', 'Singaporean', 'Food Court']",
Sentosa,&Made Burger Bistro,www.yelp.com/biz/and-made-burger-bistro-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3Zd0SHmFghLxUZX0SI98fg/348s.jpg,3.5,2,Sentosa,"['Bistros', 'Burgers']",3.0
Sentosa,SkyLoft at iFly Singapore,www.yelp.com/biz/skyloft-at-ifly-singapore-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Jvd4ZBIgSTixwnZwEgy-cg/348s.jpg,4,1,Sentosa,"['Breakfast & Brunch', 'Italian']",2.0
Sentosa,Mel’s Drive-In,www.yelp.com/biz/mels-drive-in-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NAZmG3z8FN06OnA6b8FKFw/348s.jpg,4,1,Sentosa,['Diners'],
Sentosa,OSIA Bar & Restaurant,www.yelp.com/biz/osia-bar-and-restaurant-southern?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Kz5ZGJkTA6Z3ZW1jNVFvvA/348s.jpg,3.5,10,Sentosa,['Modern European'],4.0
Sentosa,Thye Hong Singapore Heritage Food,www.yelp.com/biz/thye-hong-singapore-heritage-food-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UCt0CE7UF4sTs1hfeo1_kw/348s.jpg,5,1,Tanjong Pagar,"['Noodles', 'Singaporean', 'Food Court']",
Sentosa,A-One Claypot House,www.yelp.com/biz/a-one-claypot-house-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oisCypG8qcRBRCWfa6rWrg/348s.jpg,4,2,Harbourfront,['Chinese'],
Sentosa,Three Peacocks,www.yelp.com/biz/three-peacocks-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OnRWFGQvEYUl7XcNxCvqw/348s.jpg,3.5,4,Labrador Park,"['Bars', 'Seafood', 'Buffets']",
Sentosa,Man Man Japanese Unagi,www.yelp.com/biz/man-man-japanese-unagi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/348s.jpg,5,19,Chinatown,['Japanese'],2.0
Sentosa,JustIN Flavours of Asia,www.yelp.com/biz/justin-flavours-of-asia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xcv6Z9rhkbx4GeTByaiU9A/348s.jpg,4.5,6,Bayfront,['Singaporean'],
Sentosa,Tangerine - ESPA,www.yelp.com/biz/tangerine-espa-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Hvqf3EJJ-taRXuRytQUJhg/348s.jpg,3.5,2,Sentosa,['Restaurants'],2.0
Sentosa,Auntie Kim’s Korean Restaurant,www.yelp.com/biz/auntie-kims-korean-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4,3,Alexandra,"['Korean', 'Barbeque']",2.0
Sentosa,TEN Cafe,www.yelp.com/biz/ten-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I6qakBvwTg_-soVU-eEeIQ/348s.jpg,4,1,Harbourfront,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",
Sentosa,Thanying,www.yelp.com/biz/thanying-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ytsPm350zdhukaXtNn4X5w/348s.jpg,4,1,Sentosa,['Thai'],
Sentosa,Cafe del Mar Sentosa,www.yelp.com/biz/cafe-del-mar-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mttTKUOe2Ay1pzkmKYfzCQ/348s.jpg,4,2,Sentosa,"['Food', 'Cafes', 'Cocktail Bars']",
Sentosa,Food Republic,www.yelp.com/biz/food-republic-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cAKJBldfJWFkhiiFijGMxQ/348s.jpg,3.5,21,Harbourfront,['Food Court'],1.0
Sentosa,Talay Thai,www.yelp.com/biz/talay-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8QiguiAO3TjZ3WQiw8lhhQ/348s.jpg,5,1,Clarke Quay,"['Thai', 'Seafood', 'Asian Fusion']",
Sentosa,Zi Yean Eating House,www.yelp.com/biz/zi-yean-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1BNR5cnJJpinX3MQIBqCpg/348s.jpg,4,3,Redhill,['Cantonese'],2.0
